Id,dd,hu,td,t,ff,precip,month,number_sta,Ground_truth,ws,p3031,u10,v10,t2m,d2m,r,msl,t_3D_arpege,p3014_3D_arpege,r_3D_arpege,ws_3D_arpege,p3031_3D_arpege,u_3D_arpege,v_3D_arpege,w_3D_arpege,z_3D_arpege,lat,lon,height_sta
14066001_218,184.45833333333331,81.37083333333334,286.3533333333333,289.6829166666667,2.90125,0.2,8,14066001,0.0,3.5416463216145835,217.08154296875,2.108142375946045,0.0175308982531229,289.80694580078125,287.0579833984375,84.14902242024739,102854.9375,288.7266199448529,286.9644990808824,83.64399988511029,6.072985032025506,283.3929227941176,5.720016928280101,-0.8261337280273438,-0.0051236538326039,2320.5974264705883,49.334,-0.431,2.0
14066001_104,174.58333333333334,84.29166666666667,280.94458333333336,283.61125,3.0908333333333338,9.1,4,14066001,0.6000000000000001,4.325818697611491,168.07288614908853,-0.7679789861043295,3.3796609242757163,283.8289998372396,281.1964518229167,83.98710632324219,100922.0625,282.88818359375,281.17336856617646,80.48680922564338,5.406486511230469,186.869140625,0.753966163186466,4.740735671099494,0.1510349161484662,830.0480238970588,49.334,-0.431,2.0
14066001_161,114.16666666666669,88.70833333333333,287.56875,289.5095833333333,2.067916666666666,0.0,6,14066001,2.2,2.7590808868408203,131.48193359375,-1.6651725769042969,-0.3386572202046712,288.33111572265625,286.67041015625,90.09458414713542,101243.45833333331,290.25950712316177,287.42434512867646,74.09653607536765,4.6536999870749085,144.09909237132354,-3.0893913717830883,1.827841366038603,0.0435475882361916,1058.0465303308824,49.334,-0.431,2.0
14066001_1,205.625,82.3,279.9975,282.93666666666667,8.04125,3.4,1,14066001,11.699999999999998,10.600894927978516,212.2322794596354,5.115749359130859,7.128517150878906,283.41237386067706,279.92706298828125,79.1105448404948,100319.48958333331,283.5090762867647,281.7982536764706,82.19178682215073,11.340173160328584,198.63446403952207,3.4251565372242645,9.258523380055149,0.3599896430969238,173.6349666819853,49.334,-0.431,2.0
14066001_550,100.29166666666669,83.65416666666667,287.0275,289.92375,2.681666666666666,0.2,7,14066001,0.0,4.778275807698567,269.4890543619792,4.044821421305339,-0.5340959628423055,289.4564615885417,286.9295247395833,85.36863199869792,102331.91666666669,290.6947667738971,288.07838350183823,77.38274787454044,5.298101088579963,57.62589039522059,-4.129518396714154,-2.779003143310547,-0.1029244731454288,1440.0472196691176,49.334,-0.431,2.0
14066001_327,104.41666666666669,87.92083333333333,280.2725,282.2004166666667,4.66375,1.2000000000000002,11,14066001,0.0,6.206870396931966,98.51071166992188,-4.624180793762207,-2.557004928588867,283.49924723307294,280.7166748046875,83.13428751627605,101382.82291666669,282.37181181066177,280.0057157628676,74.00701545266544,9.63051829618566,205.47173713235293,4.336359809426701,8.484312169692096,0.3582183052511776,173.34425264246323,49.334,-0.431,2.0
14066001_664,155.375,98.98333333333332,284.05,284.2325,1.13375,0.2,10,14066001,0.0,10.608381907145182,222.8445841471354,7.150620778401692,7.613932291666667,287.62131754557294,282.9297281901042,73.76400756835938,100936.28125,285.1922392003676,284.2284581801471,89.3188835592831,5.358528585994945,152.32123161764707,-0.7497411615708295,-4.172542347627528,-0.2051556671366972,2529.287224264706,49.334,-0.431,2.0
14066001_246,226.41666666666663,73.80833333333334,287.46666666666664,292.7825,3.2062500000000003,5.900000000000001,9,14066001,0.6000000000000001,3.4347616831461587,188.667236328125,0.9120858510335288,0.1412870983282725,291.1796468098958,288.2362263997396,83.31045532226562,101817.16666666669,290.21653837316177,287.5949276194853,77.34255083869485,4.5592332727768845,246.75950712316177,4.057923709644991,1.6033316219554228,0.0417354106903076,1560.744140625,49.334,-0.431,2.0
14066001_369,235.70833333333331,75.3875,276.085,280.18958333333336,6.009583333333333,0.0,1,14066001,0.2,4.162863413492839,225.08526611328125,3.0621798833211265,2.478854179382324,276.4444173177083,274.1072591145833,84.92183430989583,103054.36458333331,278.7688419117647,277.23828125,78.61215389476104,11.054891249712776,273.06448184742646,7.684055103975184,-6.272121653837316,-0.31945660535027,2119.315716911765,49.334,-0.431,2.0
14066001_35,207.29166666666663,87.5625,281.26125,283.2945833333333,4.038333333333333,0.4000000000000001,2,14066001,2.0,6.774712244669597,212.9893391927084,3.117808024088541,5.322203318277995,283.5211181640625,280.9446207682292,84.39307149251302,102258.82291666669,281.99632352941177,281.19603056066177,90.30895278033088,9.703887939453123,221.2136661305147,5.801672991584329,6.84383347455193,0.2614049631006577,1968.3269761029408,49.334,-0.431,2.0
